node	a_force.x	a_force.y	g_force.x	g_force.y	r_force.x	r_force.y	global_speed	move_node.x	move_node.y
0	21673.779297	-37684.671875	220.622314	219.796509	0.000000	0.000000	71.858383	177.515808	94.225883
1	467715.687500	526951.750000	267.153412	150.396713	0.000000	0.000000	71.858383	78.428352	33.130478
2	-80590.476562	-682225.125000	-7.700592	-255.028976	0.000000	0.000000	71.858383	140.567474	40.630653
3	-5479.284180	53541.605469	6.291745	29.075508	0.000000	0.000000	71.858383	-48.246216	108.675697
4	-292708.281250	128006.726562	-728.961548	-141.252594	0.000000	0.000000	71.858383	80.160049	-94.531586
5	-182942.515625	-112278.546875	-221.585663	188.553055	0.000000	0.000000	71.858383	191.684570	53.572128
6	109060.218750	598877.125000	-65.564774	1076.888428	0.000000	0.000000	71.858383	62.834473	78.372818
7	349817.281250	511358.593750	141.812454	120.351646	0.000000	0.000000	71.858383	-206.379623	-82.822945
8	-1242027.250000	617441.812500	-133.855011	699.868042	0.000000	0.000000	71.858383	111.493805	216.580872
9	97242.859375	-33115.039062	39.396267	-6.406387	0.000000	0.000000	71.858383	102.785179	-44.270210
10	116969.664062	-205749.000000	142.228287	-251.982300	0.000000	0.000000	71.858383	21.996141	-36.348446
11	160384.453125	175357.156250	63.933430	63.334736	0.000000	0.000000	71.858383	-12.367854	17.176998
12	1916134.125000	1338050.375000	428.255615	-0.336082	0.000000	0.000000	71.858383	34.149364	28.232632
13	32792.863281	19523.800781	28.644516	27.566946	0.000000	0.000000	71.858383	19.198402	90.021240
14	-51166.507812	-87753.796875	17.830368	-117.857681	0.000000	0.000000	71.858383	85.039085	-176.396988
15	75720.234375	778448.562500	477.409760	467.543060	0.000000	0.000000	71.858383	160.015060	126.586128
16	357732.687500	-89962.960938	347.798279	53.435383	0.000000	0.000000	71.858383	61.128468	42.747551
17	1359702.250000	-1631411.125000	-519.426941	-1397.847168	0.000000	0.000000	71.858383	82.230545	-332.370361
18	-36703.859375	-96218.929688	-82.402222	-1.507035	0.000000	0.000000	71.858383	-154.540283	53.052780
19	-1231572.625000	1005838.750000	-308.736694	66.202965	0.000000	0.000000	71.858383	4.939237	-79.472954
20	756398.125000	-20077.414062	432.069366	191.151917	0.000000	0.000000	71.858383	37.076324	-79.164169
21	-1014389.375000	-210399.046875	-1097.376465	-178.515747	0.000000	0.000000	71.858383	-105.964447	-12.665136
22	-353268.781250	-476438.812500	-169.257874	-233.684113	0.000000	0.000000	71.858383	-143.441772	-513.615051
23	-73061.437500	-694762.687500	-281.353882	-580.300964	0.000000	0.000000	71.858383	253.507843	-115.973343
24	140998.500000	-73415.828125	109.787361	-110.946228	0.000000	0.000000	71.858383	-48.264187	-97.370880
25	341402.000000	-739542.562500	-706.656494	-836.999023	0.000000	0.000000	71.858383	-325.222168	244.153397
26	196853.171875	78514.812500	339.607361	310.411987	0.000000	0.000000	71.858383	42.250259	78.512505
27	-443098.093750	270462.281250	-508.749817	-89.062271	0.000000	0.000000	71.858383	13.092916	-211.529648
28	-66990.414062	-392317.968750	-99.008270	-196.278214	0.000000	0.000000	71.858383	-49.660995	-92.275124
29	-736707.937500	1243863.500000	-1141.109497	913.693237	0.000000	0.000000	71.858383	-173.940063	139.706253
30	-10093.293945	35170.101562	-1.318017	29.321339	0.000000	0.000000	71.858383	-186.469437	144.421249
31	56434.003906	-99573.257812	94.263084	-85.195877	0.000000	0.000000	71.858383	93.841980	-17.627094
32	-131571.906250	-6436.515625	-57.393513	37.629250	0.000000	0.000000	71.858383	-75.271591	157.646454
33	-22336.617188	54865.949219	24.503277	52.496315	0.000000	0.000000	71.858383	-73.999840	146.831604
34	469232.781250	98468.796875	489.646271	172.786957	0.000000	0.000000	71.858383	-11.207718	42.948532
35	109109.664062	408034.406250	443.355682	410.034576	0.000000	0.000000	71.858383	160.856903	-162.344238
36	-1447457.250000	758018.500000	-805.184692	681.061646	0.000000	0.000000	71.858383	-152.951477	-4.963389
37	-321717.187500	-374200.625000	-191.988602	-75.886917	0.000000	0.000000	71.858383	-8.344370	73.893234
38	925379.000000	323291.531250	473.315643	27.058365	0.000000	0.000000	71.858383	-42.911491	-66.759155
39	-52141.613281	-62773.933594	26.399588	-174.000031	0.000000	0.000000	71.858383	59.696640	-80.159981
40	-897056.750000	936904.187500	-15.368259	260.776245	0.000000	0.000000	71.858383	65.077576	-108.610863
41	103935.773438	56967.664062	58.245407	53.093105	0.000000	0.000000	71.858383	57.260471	37.767094
42	16650.875000	-930286.000000	-64.789268	-81.055145	0.000000	0.000000	71.858383	0.183263	189.282959
43	-252266.187500	631299.125000	-35.858551	463.639496	0.000000	0.000000	71.858383	49.184139	145.354355
44	-621853.062500	243477.546875	-324.747742	-96.119133	0.000000	0.000000	71.858383	-20.914660	-67.046196
45	88818.390625	33729.921875	74.771225	48.310490	0.000000	0.000000	71.858383	11.541032	-67.982262
46	-6185.022461	-209930.015625	-245.320847	-244.867310	0.000000	0.000000	71.858383	-71.916069	-142.475708
47	1143552.875000	821203.062500	1101.591553	717.820679	0.000000	0.000000	71.858383	163.948944	31.967466
48	451006.406250	-312164.781250	60.438278	-81.049759	0.000000	0.000000	71.858383	63.502144	47.221088
49	-24327.351562	54308.695312	-71.770233	105.089439	0.000000	0.000000	71.858383	-81.407417	100.162682
50	57133.554688	84957.656250	33.907898	49.482021	0.000000	0.000000	71.858383	-6.458270	101.265495
51	-151865.250000	351731.812500	-71.803764	311.753662	0.000000	0.000000	71.858383	-113.340973	25.949503
52	168088.796875	27391.751953	141.370102	134.176941	0.000000	0.000000	71.858383	20.592272	172.359558
53	-737036.812500	-83312.500000	-482.419464	-82.483604	0.000000	0.000000	71.858383	-124.320686	-53.962349
54	-515141.656250	-152881.671875	-310.154602	218.001755	0.000000	0.000000	71.858383	-41.666031	-85.208321
55	354739.625000	-218378.500000	151.665497	-63.192421	0.000000	0.000000	71.858383	89.404007	-61.299774
56	-256791.328125	281500.218750	-390.565430	45.596001	0.000000	0.000000	71.858383	-180.977432	-15.099276
